DEBUG: Found Mfg ID: 3be07931-596a-4fa3-8d39-8d04c36cf4bb
DEBUG: Sample 50 SKUs:
  SKU: W3342 BUTT SD, Col: PRIME CHERRY, Style: LUBBOCK PAINTED, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PRIME CHERRY, Style: OXRIDGE MAPLE, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PRIME CHERRY, Style: OXRIDGE DFO MAPLE, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PRIME CHERRY, Style: OXRIDGE PAINTED, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PRIME CHERRY, Style: OXRIDGE DFO PAINTED, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM MAPLE, Style: ABILENE DURAFORM, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM MAPLE, Style: ABILENE DFO DURAFORM, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM MAPLE, Style: ABILENE MAPLE, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM MAPLE, Style: ABILENE DFO MAPLE, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM MAPLE, Style: ABILENE PAINTED, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM MAPLE, Style: ABILENE DFO PAINTED, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM MAPLE, Style: BELCOURT MAPLE, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM MAPLE, Style: BELCOURT DFO MAPLE, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM MAPLE, Style: BELCOURT PAINTED, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM MAPLE, Style: BELCOURT DFO PAINTED, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM MAPLE, Style: CLAYTON MAPLE, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM MAPLE, Style: CLAYTON DFO MAPLE, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM MAPLE, Style: CLAYTON PAINTED, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM MAPLE, Style: CLAYTON DFO PAINTED, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM MAPLE, Style: DENVER CHERRY, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM MAPLE, Style: DENVER DFO CHERRY, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM MAPLE, Style: LUBBOCK DURAFORM (NON-TEXTURED), Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM MAPLE, Style: LUBBOCK MAPLE, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM MAPLE, Style: LUBBOCK PAINTED, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM MAPLE, Style: OXRIDGE MAPLE, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM MAPLE, Style: OXRIDGE DFO MAPLE, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM MAPLE, Style: OXRIDGE PAINTED, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM MAPLE, Style: OXRIDGE DFO PAINTED, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM PAINTED, Style: ABILENE DURAFORM, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM PAINTED, Style: ABILENE DFO DURAFORM, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM PAINTED, Style: ABILENE MAPLE, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM PAINTED, Style: ABILENE DFO MAPLE, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM PAINTED, Style: ABILENE PAINTED, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM PAINTED, Style: ABILENE DFO PAINTED, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM PAINTED, Style: BELCOURT MAPLE, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM PAINTED, Style: BELCOURT DFO MAPLE, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM PAINTED, Style: BELCOURT PAINTED, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM PAINTED, Style: BELCOURT DFO PAINTED, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM PAINTED, Style: CLAYTON MAPLE, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM PAINTED, Style: CLAYTON DFO MAPLE, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM PAINTED, Style: CLAYTON PAINTED, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM PAINTED, Style: CLAYTON DFO PAINTED, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM PAINTED, Style: DENVER CHERRY, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM PAINTED, Style: DENVER DFO CHERRY, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM PAINTED, Style: LUBBOCK DURAFORM (NON-TEXTURED), Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM PAINTED, Style: LUBBOCK MAPLE, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM PAINTED, Style: LUBBOCK PAINTED, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM PAINTED, Style: OXRIDGE MAPLE, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM PAINTED, Style: OXRIDGE DFO MAPLE, Price: 1710.0
  SKU: W3342 BUTT SD, Col: PREMIUM PAINTED, Style: OXRIDGE PAINTED, Price: 1710.0

DEBUG: Unique Collections found (first 50): ['BASE', 'CHOICE DURAFORM', 'CHOICE MAPLE', 'CHOICE PAINTED', 'ELITE CHERRY', 'ELITE DURAFORM (TEXTURED)', 'ELITE MAPLE', 'ELITE PAINTED', 'PREMIUM CHERRY', 'PREMIUM DURAFORM (NON-TEXTURED)', 'PREMIUM DURAFORM (TEXTURED)', 'PREMIUM MAPLE', 'PREMIUM PAINTED', 'PRIME CHERRY', 'PRIME DURAFORM', 'PRIME MAPLE', 'PRIME PAINTED']

DEBUG: Unique Door Styles found (first 50): ['ABILENE CHERRY', 'ABILENE DFO CHERRY', 'ABILENE DFO DURAFORM', 'ABILENE DFO MAPLE', 'ABILENE DFO PAINTED', 'ABILENE DURAFORM', 'ABILENE MAPLE', 'ABILENE PAINTED', 'BANDERA DFO MAPLE', 'BANDERA DFO PAINTED', 'BANDERA MAPLE', 'BANDERA PAINTED', 'BARREN DURAFORM', 'BARREN MAPLE', 'BARREN PAINTED', 'BASE', 'BELCOURT CHERRY', 'BELCOURT DFO CHERRY', 'BELCOURT DFO MAPLE', 'BELCOURT DFO PAINTED', 'BELCOURT MAPLE', 'BELCOURT PAINTED', 'BOERNE HARDWOOD', 'CANYON CHERRY', 'CANYON DFO CHERRY', 'CANYON DFO DURAFORM (TEXTURED)', 'CANYON DFO MAPLE', 'CANYON DFO PAINTED', 'CANYON MAPLE', 'CANYON PAINTED', 'CARSON DFO DUAFORM', 'CARSON DURAFORM', 'CLAYTON CHERRY', 'CLAYTON DFO CHERRY', 'CLAYTON DFO MAPLE', 'CLAYTON DFO PAINTED', 'CLAYTON MAPLE', 'CLAYTON PAINTED', 'COOPER DFO MAPLE', 'COOPER DFO PAINTED', 'COOPER MAPLE', 'COOPER PAINTED', 'DENVER CHERRY', 'DENVER DFO CHERRY', 'DENVER DFO DURAFORM', 'DENVER DFO MAPLE', 'DENVER DFO PAINTED', 'DENVER DURAFORM', 'DENVER MAPLE', 'DENVER PAINTED']
